slug,parent,title,file_path,status,post_type,target_user,goal,seo_title,seo_keywords,seo_description,handson_overview
document-creation,usage-patterns,文書作成支援,contents/chatgpt/contents/chatgpt-basics/usage-patterns/document-creation.md,not_started,pages,初心者・中級者,"ChatGPTを活用した文書作成スキルを習得し、効率的な文書作成ができるようになる。","ChatGPT文書作成完全ガイド | 報告書・企画書・メール作成術","ChatGPT 文書作成, 報告書作成, 企画書作成, メール作成, 文書作成支援","ChatGPTを活用した効率的な文書作成法。報告書から企画書まで様々な文書タイプに対応した実践的作成術を習得。","文書作成の実践演習。報告書、企画書、メール、議事録などの文書をChatGPTで実際に作成する手順を掲載。"
idea-generation,usage-patterns,アイデア発想,contents/chatgpt/contents/chatgpt-basics/usage-patterns/idea-generation.md,not_started,pages,初心者・中級者,"ChatGPTを活用したアイデア発想技術を習得し、創造的な思考を促進できるスキルを身につける。","ChatGPTアイデア発想術 | 創造的思考を促進するブレインストーミング","ChatGPT アイデア発想, ブレインストーミング, 創造的思考, アイデア創出","ChatGPTを活用した効果的なアイデア発想法。ブレインストーミングから具体的な企画まで創造性を高める実践的手法。","アイデア発想の実践演習。様々なテーマでアイデア出し、企画立案、問題解決のアイデア創出を実際に行う手順を掲載。"
learning-support,usage-patterns,学習サポート,contents/chatgpt/contents/chatgpt-basics/usage-patterns/learning-support.md,not_started,pages,初心者・学習者,"ChatGPTを学習ツールとして活用し、効率的な学習を実現するスキルを習得する。","ChatGPT学習サポート活用法 | 効率的な学習とスキルアップ","ChatGPT 学習支援, 学習サポート, スキルアップ, 教育活用","ChatGPTを学習パートナーとして活用する方法。質問・解説・演習問題作成など効率的な学習支援の実践的活用法。","学習サポートの実践演習。質問作成、解説要求、演習問題生成、学習計画立案をChatGPTで実際に行う手順を掲載。"
translation-summary,usage-patterns,翻訳・要約,contents/chatgpt/contents/chatgpt-basics/usage-patterns/translation-summary.md,not_started,pages,初心者・中級者,"ChatGPTを活用した翻訳・要約技術を習得し、情報処理効率を大幅に向上させる。","ChatGPT翻訳・要約完全活用ガイド | 多言語対応・文書要約術","ChatGPT 翻訳, 要約, 多言語対応, 文書要約, 情報処理","ChatGPTの翻訳・要約機能を効果的に活用する方法。多言語翻訳から長文要約まで情報処理を効率化する実践的手法。","翻訳・要約の実践演習。英日翻訳、多言語翻訳、文書要約、情報抽出をChatGPTで実際に行う手順を掲載。"
qa-utilization,usage-patterns,Q&A活用,contents/chatgpt/contents/chatgpt-basics/usage-patterns/qa-utilization.md,not_started,pages,初心者・中級者,"ChatGPTを効果的なQ&Aツールとして活用し、知識獲得と問題解決を効率化する。","ChatGPT Q&A活用術 | 効果的な質問と知識獲得法","ChatGPT Q&A, 質問術, 知識獲得, 問題解決, 情報収集","ChatGPTを効果的なQ&Aパートナーとして活用する方法。的確な質問技法から知識体系化まで情報活用術を習得。","Q&A活用の実践演習。効果的な質問作成、深掘り質問、関連情報収集をChatGPTで実際に行う手順を掲載。"
common-issues,chatgpt-basics,よくある問題と解決法,contents/chatgpt/contents/chatgpt-basics/common-issues/common-issues.md,not_started,pages,初心者・中級者,"ChatGPT利用時によくある問題を理解し、適切な対処法を習得して効果的に活用できるようになる。","ChatGPTよくある問題解決ガイド | トラブル対処と改善法","ChatGPT 問題解決, よくある問題, トラブル対処, 改善方法","ChatGPT利用時のよくある問題と効果的な解決方法。期待する結果が得られない原因分析から具体的改善策まで。",不要
unexpected-answers,common-issues,期待した答えが得られない,contents/chatgpt/contents/chatgpt-basics/common-issues/unexpected-answers.md,not_started,pages,初心者・中級者,"期待した答えが得られない原因を理解し、プロンプト改善により望む結果を得る技術を習得する。","ChatGPT期待した答えが得られない時の対処法 | プロンプト改善術","ChatGPT 期待した答え, プロンプト改善, 回答精度向上, 指示改善","ChatGPTから期待した答えが得られない原因と対処法。プロンプトの問題点分析から効果的な改善手法まで実践的に解説。","期待した答えを得るための実践演習。問題のあるプロンプトを改善し、望む結果を得る改善プロセスを実際に体験する手順を掲載。"
information-accuracy,common-issues,情報の正確性について,contents/chatgpt/contents/chatgpt-basics/common-issues/information-accuracy.md,not_started,pages,初心者・中級者,"ChatGPTの情報の正確性を理解し、適切な検証方法と活用法を身につける。","ChatGPT情報の正確性ガイド | ハルシネーション対策と検証法","ChatGPT 情報の正確性, ハルシネーション, 情報検証, ファクトチェック","ChatGPTが提供する情報の正確性について詳しく解説。ハルシネーションの理解から効果的な情報検証法まで。","情報検証の実践演習。ChatGPTの回答を検証し、信頼性を確認する検証プロセスを実際に行う手順を掲載。"
long-prompts,common-issues,プロンプトが長すぎる,contents/chatgpt/contents/chatgpt-basics/common-issues/long-prompts.md,not_started,pages,初心者・中級者,"長すぎるプロンプトの問題を理解し、簡潔で効果的なプロンプト作成技術を習得する。","ChatGPT長いプロンプト改善ガイド | 簡潔で効果的な指示術","ChatGPT 長いプロンプト, プロンプト簡潔化, 効果的な指示, プロンプト最適化","長すぎるプロンプトの問題点と改善方法。冗長な指示を簡潔にしながら効果を維持する実践的最適化技術。","プロンプト簡潔化の実践演習。長いプロンプトを段階的に短縮し、効果を維持する改善プロセスを実際に体験する手順を掲載。"
response-speed,common-issues,応答速度の改善,contents/chatgpt/contents/chatgpt-basics/common-issues/response-speed.md,not_started,pages,初心者・中級者,"ChatGPTの応答速度を向上させる技術を習得し、効率的な対話を実現する。","ChatGPT応答速度改善術 | 高速化テクニックと最適化法","ChatGPT 応答速度, 高速化, 最適化, パフォーマンス向上","ChatGPTの応答速度を向上させる実践的手法。プロンプト最適化から設定調整まで高速化技術を詳しく解説。","応答速度改善の実践演習。様々な最適化手法を試し、応答時間の変化を測定する実験を行う手順を掲載。"
gpt5-latest-features,,GPT-5・最新機能活用,contents/chatgpt/contents/gpt5-latest-features/gpt5-latest-features.md,not_started,pages,中級者,"GPT-5の革新的新機能を理解し、従来版を大きく上回る活用法を習得する。","GPT-5・最新機能完全活用ガイド | 思考モード・Sora・100万トークン","GPT-5 最新機能, 思考モード, Sora動画生成, 100万トークン, マルチモーダル","GPT-5の革新的新機能を完全解説。思考モード・Sora・100万トークン処理など最新機能の実践活用法を体系的に習得。",不要
